mDM SigmaV
0.5068215874033616 4.548869551959315e-26
0.5415902085533152 4.5702789970714787e-26
0.5771456594836696 4.61931231919189e-26
0.6167388484193563 4.629181931749154e-26
0.7504927985866764 4.77978201426879e-26
0.7997625665395989 4.8372536185538466e-26
0.854626246152757 4.899597391022752e-26
0.910731820943648 4.9775957519529307e-26
0.9718630962445167 5.059714720789387e-26
1.037097815485423 5.139530699001004e-26
1.1067112840484095 5.221348640043856e-26
1.1809972066711927 5.311266276030209e-26
1.679609893012439 5.760146096806329e-26
1.7731305683538177 5.827817901881377e-26
1.8760029656731587 5.898322584826879e-26
1.9886903541189602 5.936432175028732e-26
2.1221798133586343 5.995802068491882e-26
2.2615009790520517 6.06271685447071e-26
2.416643372019553 6.083455875488388e-26
2.5752996569110445 6.096453773952803e-26
3.3395611870228885 6.196149646566571e-26
3.5686629766528646 6.18557902798229e-26
3.802946558387534 6.246607302630495e-26
4.063835259748056 6.259953790075813e-26
4.330633610842393 6.259953790075865e-26
4.931530716266173 6.359608128209635e-26
5.269833174636565 6.444322658721623e-26
5.615794901483281 6.538533476239965e-26
6.001036615697779 6.634121580186611e-26
6.394999764599383 6.74260998418119e-26
8.292734148045072 7.318496563176368e-26
8.861606579604649 7.460435466658044e-26
9.378325346523608 7.555243589264462e-26
