# Indirection Detection Limits
# Spectrum: ./Spectrum42_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
1004.0 8.829971180720317e-27
1024.1 8.890046469388158e-27
1044.6 8.949257521712227e-27
1065.4 9.008306275290992e-27
1086.8 9.068732712504922e-27
1108.5 9.131017166944247e-27
1153.3 9.252657740039578e-27
1199.9 9.373900004389711e-27
1462.6 1.0029029721624816e-26
1521.7 1.0172709061498834e-26
1614.9 1.0392097315214411e-26
1782.9 1.0782920172580837e-26
2352.6 1.2049326485633728e-26
2399.6 1.2150130144231637e-26
2811.5 1.300905273346097e-26
3166.2 1.371266648128307e-26
3495.8 1.434341119634252e-26
4177.8 1.5571146846392508e-26
4522.1 1.6158102193506584e-26
4894.9 1.6771707278250216e-26
5298.4 1.7417734301371016e-26
5735.2 1.8095790621269918e-26
6207.9 1.880713320052326e-26
7718.8 2.0937816473202295e-26
9597.3 2.339909824903644e-26
11024.0 2.5175458912564197e-26
12663.0 2.713728705081287e-26
15745.0 3.071591390007253e-26
18087.0 3.3351847518125306e-26
20776.0 3.6356363693316173e-26
23865.0 3.972462074534678e-26
