# Indirection Detection Limits
# Spectrum: ./Spectrum11_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
554.28 1.19810878651704e-25
565.36 1.2068246597027758e-25
576.67 1.2167720955181806e-25
588.2 1.223603550536426e-25
599.97 1.2304637370437412e-25
624.21 1.2395659510233222e-25
636.69 1.2439399185417011e-25
675.66 1.2445974539373177e-25
689.17 1.2439143474066695e-25
791.64 1.2114982772477958e-25
840.1 1.1936706504509873e-25
856.9 1.184374564265283e-25
1176.3 1.053465609265687e-25
1351.2 1.0023508260623304e-25
1491.9 9.716457990753272e-26
1614.9 9.509427240830554e-26
2048.0 9.062776933391917e-26
2702.3 8.905514924064042e-26
3104.1 8.96172255436278e-26
3783.9 9.212800371674991e-26
4015.5 9.31935897033213e-26
5194.5 1.0012485679033739e-25
5512.5 1.0222480973154231e-25
7567.4 1.1711725072020992e-25
8030.6 1.2068643086140623e-25
11699.0 1.505459587141501e-25
12415.0 1.5664675164650763e-25
18087.0 2.0706755196292067e-25
19194.0 2.1715962406989966e-25
