# Indirection Detection Limits
# Spectrum: ./Spectrum32_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
624.21 5.489584250120115e-26
636.69 5.532278345159477e-26
649.42 5.569270739001814e-26
662.41 5.59454131701069e-26
675.66 5.620502454258883e-26
689.17 5.640387281095681e-26
717.02 5.642166223530395e-26
731.36 5.640111441733039e-26
745.98 5.643450086929573e-26
856.9 5.505594540547905e-26
891.52 5.443042184183368e-26
946.09 5.331200452814649e-26
1004.0 5.222773197825265e-26
1024.1 5.178449917404749e-26
1405.8 4.581924175101051e-26
1434.0 4.551857070354376e-26
1614.9 4.383988900288428e-26
1782.9 4.2725405741734325e-26
1968.5 4.1856353955154813e-26
2130.8 4.133458021694034e-26
2306.4 4.0968126624386546e-26
2496.5 4.0758173687478833e-26
2702.3 4.067599723401555e-26
3104.1 4.089449032706487e-26
3360.0 4.121286126484264e-26
3859.6 4.2103363048997665e-26
4095.8 4.2628865455970697e-26
4704.8 4.4108466709405484e-26
5735.2 4.7070228876249095e-26
6086.2 4.817763474240518e-26
6991.1 5.113853587349891e-26
7419.1 5.257093343431195e-26
7873.2 5.41343492184821e-26
9597.3 6.029249270268998e-26
10185.0 6.243683987898424e-26
12415.0 7.086449797827558e-26
13175.0 7.377225380097362e-26
13982.0 7.693617035114707e-26
17043.0 8.923554072521302e-26
18087.0 9.352819447273407e-26
19194.0 9.813651548649583e-26
23397.0 1.1606127703123427e-25
24829.0 1.2235587729404728e-25
