mDM SigmaV
93.67381126597772 1.5604421986339667e-26
97.85250805789515 1.5693247511217153e-26
110.73995830594558 1.7326221912782106e-26
119.971750205247 1.8812855868716046e-26
129.9726096070586 2.032612811691269e-26
135.77051528570507 2.0433733395286067e-26
152.54345515031747 2.347050767826712e-26
165.26147623794034 2.572527923849778e-26
179.03806253051008 2.7863488603252417e-26
193.96389907311357 3.032925964347493e-26
210.13336067549994 3.2882693707819726e-26
229.87943835530214 3.762512403798281e-26
246.6374380616042 4.037445624479865e-26
287.37567113935575 4.764473251900439e-26
311.33918938917867 5.305611771191814e-26
337.2978973173071 5.844185700237163e-26
365.417204322069 6.358215349336132e-26
391.3131263030345 7.187150140948296e-26
409.0659182727405 7.2130814438326e-26
457.95321718268525 8.731393488059352e-26
500.9908854747861 1.0090111475961442e-25
537.5191464209828 1.0985135352055504e-25
621.7786041253737 1.3305978431079195e-25
673.6257312141378 1.478059534894384e-25
729.7967440130203 1.6434906010551457e-25
790.6418358661755 1.8004859887767466e-25
839.9360882119809 2.0663792001182335e-25
878.6812944088226 2.076106903830966e-25
983.7047345534376 2.5519978596970993e-25
1076.159052496087 2.97356601954426e-25
1154.611648449048 3.1961216898038e-25
1325.9700167551619 4.0300137974988716e-25
1422.6339715199895 4.331638989595637e-25
1556.3208430056102 4.967828246727806e-25
1686.0907717431453 5.502006886001498e-25
1805.599849171991 6.308037411296498e-25
2067.5576034724318 7.993167914959749e-25
2218.319764045074 8.76042072417517e-25
2398.7735678328027 1.0412269466274346e-24
2591.28419886851 1.1770510823969837e-24
2807.3948881119795 1.327725486403637e-24
3224.025012356161 1.6609250607601022e-24
3459.088730846739 1.8041988424640145e-24
3784.1826307010106 2.0946156014883664e-24
3952.9507926759416 2.08082318046608e-24
4345.937156635044 2.742010043456169e-24
4754.441472416026 3.2336580559022185e-24
5101.101934238346 3.5242150825694786e-24
5815.777709426104 4.501055295100036e-24
6300.862833860559 5.130317844167466e-24
6826.436376211906 5.876586344629118e-24
7839.497512801003 7.336796911299434e-24
8219.03131383031 7.364887698056457e-24
8744.961493729386 9.415389619107512e-24
14228.776899710896 2.2066409781291948e-23
16242.685930279531 2.978559199423539e-23
18517.794493442805 3.6763495196448644e-23
19414.77031897734 3.7998537789637565e-23
21267.087945465944 4.91208470439368e-23
22297.03295512603 5.0220831884908465e-23
24602.515283846387 6.457144963573728e-23
26654.58447278475 7.36352139514165e-23
28316.524391215604 8.487868506456345e-23
29623.29596712410 8.725204384523904e-23
32686.371281857973 1.1246249281597925e-22
34269.11482962211 1.1407337223030305e-22
37539.1004347257 1.4959632544430108e-22
39356.969813706106 1.5241697339082483e-22
43112.353421769054 1.993859337144599e-22
45200.20667642284 2.0364904905868855e-22
49513.000042079315 2.6548373672743345e-22
51911.21116046236 2.7358826005128374e-22
56864.38433923998 3.570122990575981e-22
59618.617751846454 3.6754670048235434e-22
65307.36470194249 4.810484326223781e-22
68470.36513276226 4.937732964497114e-22
75003.7986677852 6.468953955732992e-22
78636.35686636812 6.6334990347307405e-22
85515.88555682224 8.724613189742694e-22
89657.26513398637 8.911156100111271e-22
97499.75303650081 1.1547415330496263e-21
