# Indirection Detection Limits
# Spectrum: ./Spectrum22_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
565.36 7.472112309771342e-27
576.67 7.537661072492773e-27
588.2 7.595609887356815e-27
599.97 7.651165795690223e-27
611.97 7.709132970145946e-27
624.21 7.764732778735358e-27
689.17 8.019700409448183e-27
702.96 8.064926144780214e-27
717.02 8.112192308153284e-27
760.9 8.243511171167758e-27
791.64 8.33023534605958e-27
840.1 8.459127170809397e-27
927.54 8.675325660566556e-27
946.09 8.718916970579902e-27
1108.5 9.098628634160888e-27
1130.7 9.150338324156944e-27
1324.8 9.594337810182752e-27
1462.6 9.907548604792762e-27
1614.9 1.0251175488322045e-26
2216.9 1.1577687997715957e-26
2399.6 1.1966109589887051e-26
2756.4 1.2699242049897857e-26
3166.2 1.3508019898136664e-26
3360.0 1.3877253848800792e-26
3859.6 1.4796154395456075e-26
4095.8 1.5213418573678277e-26
4992.8 1.671597836161185e-26
5298.4 1.72032796920065e-26
6458.7 1.8956515416057994e-26
6854.1 1.9518013674711452e-26
7273.6 2.0107506622692014e-26
9409.2 2.2945734387855388e-26
9985.1 2.367154428382475e-26
13707.0 2.816516210008076e-26
14546.0 2.912523180274482e-26
15437.0 3.013647345973362e-26
