# Indirection Detection Limits
# Spectrum: ./Spectrum23_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
675.66 1.1152689737147692e-25
689.17 1.1147235788577295e-25
702.96 1.1131541731706674e-25
717.02 1.1097494111932717e-25
731.36 1.107905978024176e-25
745.98 1.1056513756504277e-25
760.9 1.1021952644414196e-25
776.12 1.098493061581897e-25
823.63 1.0871138441506894e-25
856.9 1.0763266330907983e-25
874.04 1.0706173810381439e-25
891.52 1.0657408435871892e-25
909.35 1.060319348216124e-25
946.09 1.0451429277020589e-25
965.01 1.0407331037171135e-25
1004.0 1.0284075481815086e-25
1065.4 1.0080698553665092e-25
1153.3 9.814208645789837e-26
1176.3 9.752206663927126e-26
1199.9 9.68710561029981e-26
1521.7 9.060066464732149e-26
1552.2 9.025925333014656e-26
1583.2 8.987376479633549e-26
1782.9 8.783519384741403e-26
1818.6 8.758564464290685e-26
2007.9 8.639399649607665e-26
2216.9 8.583443175064454e-26
2399.6 8.568410888990796e-26
2649.4 8.584051229823688e-26
2867.7 8.629193414234796e-26
3104.1 8.707669577605512e-26
3565.7 8.902696391022309e-26
3859.6 9.06278462262073e-26
4095.8 9.202889869350499e-26
4433.5 9.418233282609692e-26
4704.8 9.581866847309791e-26
5092.7 9.851954483070894e-26
5404.4 1.0078822649782963e-25
6207.9 1.0677502476620305e-25
7131.0 1.1407792302083907e-25
7567.4 1.1764850197900559e-25
8692.6 1.2692678279694033e-25
9224.7 1.3149574560166922e-25
10596.0 1.4339724658369765e-25
11245.0 1.4917954131332367e-25
11933.0 1.5525065017886304e-25
13707.0 1.7130098583745731e-25
14546.0 1.7907811032547444e-25
16709.0 1.9955115513268982e-25
17732.0 2.0944247984920854e-25
18817.0 2.2006018162263105e-25
21615.0 2.4778855984292643e-25
22938.0 2.6143888748525857e-25
24342.0 2.7587701677081173e-25
27962.0 3.1433077411846456e-25
29673.0 3.3294579396346406e-25
