# Indirection Detection Limits
# Spectrum: ./Spectrum42_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
1004.0 5.1481289701313756e-26
1024.1 5.1273803990918144e-26
1044.6 5.107190987209495e-26
1065.4 5.0872500662861257e-26
1086.8 5.0627476913807067e-26
1108.5 5.0390124155385454e-26
1153.3 4.979208918626331e-26
1199.9 4.920402699016305e-26
1462.6 4.615700718491701e-26
1521.7 4.558249103890168e-26
1614.9 4.479240100121747e-26
1782.9 4.3641162631024867e-26
2352.6 4.15890478405553e-26
2399.6 4.1514522929684216e-26
2811.5 4.1265529184921907e-26
3166.2 4.14580641724495e-26
3495.8 4.187083692582797e-26
4177.8 4.316668892202075e-26
4522.1 4.3979122668165194e-26
4894.9 4.4907488701922424e-26
5298.4 4.604775805397876e-26
5735.2 4.735484176088374e-26
6207.9 4.8789427900458054e-26
7718.8 5.379022197157664e-26
9597.3 6.048983565702748e-26
11024.0 6.570959981305832e-26
12663.0 7.199469508131517e-26
15745.0 8.41012037681662e-26
18087.0 9.36653755932987e-26
20776.0 1.0494740883882045e-25
23865.0 1.182881259079087e-25
